Sampling Year,Management Area(s),ADFG Species Code,Common Name," Genus, species", Specimen Count,Age Bin
1988,,145,"rockfish, yelloweye",Sebastes ruberrimus,200,No Age
1988,,710,sablefish,Anoplopoma fimbria,1,0-10
1988,,710,sablefish,Anoplopoma fimbria,1,20-Nov
1988,,710,sablefish,Anoplopoma fimbria,180,No Age
1989,CI,270,walleye pollock,Gadus chalcogrammus,224,No Age
1989,CSEO,710,sablefish,Anoplopoma fimbria,1,No Age
1989,NSEI,710,sablefish,Anoplopoma fimbria,1,20-Nov
1989,,121,"flounder, arrowtooth",Reinhardtius stomias,219,No Age
1989,,122,"sole, flathead",Hippoglossoides elassodon,317,No Age
1989,,124,"sole, dover",Microstomus pacificus,148,No Age
1989,,151,"rockfish, rougheye",Sebastes aleutianus,88,No Age
1989,,154,"rockfish, dusky",Sebastes ciliatus,4,No Age
1990,NSEI,710,sablefish,Anoplopoma fimbria,54,0-10
1990,NSEI,710,sablefish,Anoplopoma fimbria,125,20-Nov
1990,NSEI,710,sablefish,Anoplopoma fimbria,23,21-30
1990,NSEI,710,sablefish,Anoplopoma fimbria,12,31-40
1990,NSEI,710,sablefish,Anoplopoma fimbria,5,41-50
1990,NSEI,710,sablefish,Anoplopoma fimbria,3,No Age
1990,NSEO,710,sablefish,Anoplopoma fimbria,1,20-Nov
1990,SSEI,710,sablefish,Anoplopoma fimbria,76,0-10
1990,SSEI,710,sablefish,Anoplopoma fimbria,66,20-Nov
1990,SSEI,710,sablefish,Anoplopoma fimbria,14,21-30
1990,SSEI,710,sablefish,Anoplopoma fimbria,4,31-40
1990,SSEI,710,sablefish,Anoplopoma fimbria,1,No Age
1990,,710,sablefish,Anoplopoma fimbria,189,No Age
1991,CI,142,"rockfish, black",Sebastes melanops,253,No Age
1991,CI,151,"rockfish, rougheye",Sebastes aleutianus,7,No Age
1991,MSAPE,710,sablefish,Anoplopoma fimbria,1,No Age
1991,NSEI,710,sablefish,Anoplopoma fimbria,74,0-10
1991,NSEI,710,sablefish,Anoplopoma fimbria,160,20-Nov
1991,NSEI,710,sablefish,Anoplopoma fimbria,34,21-30
1991,NSEI,710,sablefish,Anoplopoma fimbria,17,31-40
1991,NSEI,710,sablefish,Anoplopoma fimbria,1,41-50
1991,NSEI,710,sablefish,Anoplopoma fimbria,4,No Age
1991,PW,143,"rockfish, thornyhead",Sebastolobus,21,No Age
1991,PW,151,"rockfish, rougheye",Sebastes aleutianus,155,No Age
1991,SSEI,710,sablefish,Anoplopoma fimbria,101,0-10
1991,SSEI,710,sablefish,Anoplopoma fimbria,71,20-Nov
1991,SSEI,710,sablefish,Anoplopoma fimbria,11,21-30
1991,SSEI,710,sablefish,Anoplopoma fimbria,5,31-40
1991,SSEI,710,sablefish,Anoplopoma fimbria,1,No Age
1991,SSEO,710,sablefish,Anoplopoma fimbria,1,21-30
1991,SSEO,710,sablefish,Anoplopoma fimbria,1,No Age
1991,WYKT,710,sablefish,Anoplopoma fimbria,1,No Age
1991,,141,"perch, Pacific ocean",Sebastes alutus,1,No Age
1991,,143,"rockfish, thornyhead",Sebastolobus,128,No Age
1991,,151,"rockfish, rougheye",Sebastes aleutianus,1107,No Age
1991,,154,"rockfish, dusky",Sebastes ciliatus,2,No Age
1991,,157,"rockfish, silvergray",Sebastes brevispinis,1,No Age
1992,CI,151,"rockfish, rougheye",Sebastes aleutianus,21,No Age
1992,CI,154,"rockfish, dusky",Sebastes ciliatus,3,No Age
1992,CSEO,710,sablefish,Anoplopoma fimbria,1,No Age
1992,EYKT,710,sablefish,Anoplopoma fimbria,1,No Age
1992,KOD,710,sablefish,Anoplopoma fimbria,1,20-Nov
1992,NSEI,710,sablefish,Anoplopoma fimbria,40,0-10
1992,NSEI,710,sablefish,Anoplopoma fimbria,119,20-Nov
1992,NSEI,710,sablefish,Anoplopoma fimbria,28,21-30
1992,NSEI,710,sablefish,Anoplopoma fimbria,17,31-40
1992,NSEI,710,sablefish,Anoplopoma fimbria,3,41-50
1992,NSEI,710,sablefish,Anoplopoma fimbria,2,51-60
1992,NSEI,710,sablefish,Anoplopoma fimbria,4,No Age
1992,PW,110,"cod, Pacific",Gadus macrocephalus,6,No Age
1992,PW,143,"rockfish, thornyhead",Sebastolobus,7,No Age
1992,PW,151,"rockfish, rougheye",Sebastes aleutianus,1658,No Age
1992,PW,710,sablefish,Anoplopoma fimbria,4,No Age
1992,SSEI,710,sablefish,Anoplopoma fimbria,100,0-10
1992,SSEI,710,sablefish,Anoplopoma fimbria,50,20-Nov
1992,SSEI,710,sablefish,Anoplopoma fimbria,12,21-30
1992,SSEI,710,sablefish,Anoplopoma fimbria,3,31-40
1992,SSEI,710,sablefish,Anoplopoma fimbria,2,41-50
1992,WYKT,710,sablefish,Anoplopoma fimbria,1,20-Nov
1992,WYKT,710,sablefish,Anoplopoma fimbria,1,No Age
1992,,110,"cod, Pacific",Gadus macrocephalus,16,0-10
1992,,110,"cod, Pacific",Gadus macrocephalus,1,20-Nov
1992,,136,"rockfish, northern",Sebastes polyspinis,1,20-Nov
1992,,138,"rockfish, copper",Sebastes caurinus,2,0-10
1992,,138,"rockfish, copper",Sebastes caurinus,8,20-Nov
1992,,138,"rockfish, copper",Sebastes caurinus,1,21-30
1992,,140,"rockfish, red",Sebastes,4,No Age
1992,,141,"perch, Pacific ocean",Sebastes alutus,1,No Age
1992,,142,"rockfish, black",Sebastes melanops,3,0-10
1992,,142,"rockfish, black",Sebastes melanops,12,20-Nov
1992,,142,"rockfish, black",Sebastes melanops,2,21-30
1992,,142,"rockfish, black",Sebastes melanops,2,31-40
1992,,142,"rockfish, black",Sebastes melanops,104,No Age
1992,,143,"rockfish, thornyhead",Sebastolobus,1,No Age
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,5,0-10
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,167,20-Nov
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,321,21-30
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,303,31-40
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,161,41-50
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,66,51-60
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,73,61-70
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,34,71-80
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,25,81-90
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,9,91-100
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,1,>100
1992,,145,"rockfish, yelloweye",Sebastes ruberrimus,472,No Age
1992,,146,"rockfish, canary",Sebastes pinniger,1,0-10
1992,,147,"rockfish, quillback",Sebastes maliger,2,0-10
1992,,147,"rockfish, quillback",Sebastes maliger,62,20-Nov
1992,,147,"rockfish, quillback",Sebastes maliger,53,21-30
1992,,147,"rockfish, quillback",Sebastes maliger,59,31-40
1992,,147,"rockfish, quillback",Sebastes maliger,46,41-50
1992,,147,"rockfish, quillback",Sebastes maliger,63,51-60
1992,,147,"rockfish, quillback",Sebastes maliger,13,61-70
1992,,147,"rockfish, quillback",Sebastes maliger,1,71-80
1992,,147,"rockfish, quillback",Sebastes maliger,203,No Age
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,1,31-40
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,1,41-50
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,3,51-60
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,1,61-70
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,1,81-90
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,1,>100
1992,,148,"rockfish, tiger",Sebastes nigrocinctus,1,No Age
1992,,149,"rockfish, china",Sebastes nebulosus,1,21-30
1992,,149,"rockfish, china",Sebastes nebulosus,1,31-40
1992,,149,"rockfish, china",Sebastes nebulosus,1,51-60
1992,,151,"rockfish, rougheye",Sebastes aleutianus,587,No Age
1992,,152,"rockfish, shortraker",Sebastes borealis,83,No Age
1992,,153,"rockfish, redbanded",Sebastes babcocki,1,41-50
1992,,153,"rockfish, redbanded",Sebastes babcocki,15,No Age
1992,,154,"rockfish, dusky",Sebastes ciliatus,222,No Age
1992,,157,"rockfish, silvergray",Sebastes brevispinis,12,0-10
1992,,157,"rockfish, silvergray",Sebastes brevispinis,9,20-Nov
1992,,157,"rockfish, silvergray",Sebastes brevispinis,3,21-30
1992,,157,"rockfish, silvergray",Sebastes brevispinis,28,No Age
1992,,206,Pacific sand fish,familyTrichodontidae,66,No Age
1992,,710,sablefish,Anoplopoma fimbria,3,20-Nov
1993,CI,110,"cod, Pacific",Gadus macrocephalus,40,0-10
1993,CI,110,"cod, Pacific",Gadus macrocephalus,173,No Age
1993,CI,141,"perch, Pacific ocean",Sebastes alutus,13,No Age
1993,CI,142,"rockfish, black",Sebastes melanops,1,No Age
1993,CI,146,"rockfish, canary",Sebastes pinniger,1,No Age
1993,CI,151,"rockfish, rougheye",Sebastes aleutianus,116,No Age
1993,CI,153,"rockfish, redbanded",Sebastes babcocki,6,No Age
1993,CI,154,"rockfish, dusky",Sebastes ciliatus,366,No Age
1993,CI,166,"rockfish, sharpchin",Sebastes zacentrus,3,No Age
1993,CI,206,Pacific sand fish,familyTrichodontidae,2,No Age
1993,CI,710,sablefish,Anoplopoma fimbria,125,No Age
1993,EG,157,"rockfish, silvergray",Sebastes brevispinis,132,No Age
1993,NSEI,710,sablefish,Anoplopoma fimbria,112,0-10
1993,NSEI,710,sablefish,Anoplopoma fimbria,246,20-Nov
1993,NSEI,710,sablefish,Anoplopoma fimbria,41,21-30
1993,NSEI,710,sablefish,Anoplopoma fimbria,24,31-40
1993,NSEI,710,sablefish,Anoplopoma fimbria,5,41-50
1993,NSEI,710,sablefish,Anoplopoma fimbria,3,51-60
1993,NSEI,710,sablefish,Anoplopoma fimbria,2,61-70
1993,NSEI,710,sablefish,Anoplopoma fimbria,2,No Age
1993,PW,110,"cod, Pacific",Gadus macrocephalus,100,No Age
1993,PW,130,lingcod,Ophiodon elongatus,25,No Age
1993,PW,142,"rockfish, black",Sebastes melanops,2,No Age
1993,PW,143,"rockfish, thornyhead",Sebastolobus,4,21-30
1993,PW,143,"rockfish, thornyhead",Sebastolobus,7,31-40
1993,PW,143,"rockfish, thornyhead",Sebastolobus,4,41-50
1993,PW,143,"rockfish, thornyhead",Sebastolobus,3,51-60
1993,PW,143,"rockfish, thornyhead",Sebastolobus,1,61-70
1993,PW,143,"rockfish, thornyhead",Sebastolobus,1,No Age
1993,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,8,21-30
1993,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,3,31-40
1993,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,1,41-50
1993,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,1,51-60
1993,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,10,No Age
1993,PW,147,"rockfish, quillback",Sebastes maliger,1,No Age
1993,PW,148,"rockfish, tiger",Sebastes nigrocinctus,8,20-Nov
1993,PW,148,"rockfish, tiger",Sebastes nigrocinctus,2,21-30
1993,PW,148,"rockfish, tiger",Sebastes nigrocinctus,1,31-40
1993,PW,148,"rockfish, tiger",Sebastes nigrocinctus,1,No Age
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,13,20-Nov
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,27,21-30
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,26,31-40
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,10,41-50
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,3,51-60
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,6,61-70
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,2,71-80
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,2,81-90
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,1,>100
1993,PW,151,"rockfish, rougheye",Sebastes aleutianus,707,No Age
1993,PW,152,"rockfish, shortraker",Sebastes borealis,23,20-Nov
1993,PW,152,"rockfish, shortraker",Sebastes borealis,27,21-30
1993,PW,152,"rockfish, shortraker",Sebastes borealis,26,31-40
1993,PW,152,"rockfish, shortraker",Sebastes borealis,28,41-50
1993,PW,152,"rockfish, shortraker",Sebastes borealis,22,51-60
1993,PW,152,"rockfish, shortraker",Sebastes borealis,14,61-70
1993,PW,152,"rockfish, shortraker",Sebastes borealis,14,71-80
1993,PW,152,"rockfish, shortraker",Sebastes borealis,2,81-90
1993,PW,152,"rockfish, shortraker",Sebastes borealis,2,91-100
1993,PW,152,"rockfish, shortraker",Sebastes borealis,1,>100
1993,PW,152,"rockfish, shortraker",Sebastes borealis,14,No Age
1993,PW,154,"rockfish, dusky",Sebastes ciliatus,3,No Age
1993,PW,157,"rockfish, silvergray",Sebastes brevispinis,1,No Age
1993,PW,158,"rockfish, redstripe",Sebastes proriger,6,No Age
1993,PW,710,sablefish,Anoplopoma fimbria,366,No Age
1993,SSEI,710,sablefish,Anoplopoma fimbria,108,0-10
1993,SSEI,710,sablefish,Anoplopoma fimbria,58,20-Nov
1993,SSEI,710,sablefish,Anoplopoma fimbria,14,21-30
1993,SSEI,710,sablefish,Anoplopoma fimbria,5,31-40
1993,SSEI,710,sablefish,Anoplopoma fimbria,7,No Age
1993,,110,"cod, Pacific",Gadus macrocephalus,5,0-10
1993,,130,lingcod,Ophiodon elongatus,303,No Age
1993,,136,"rockfish, northern",Sebastes polyspinis,1,31-40
1993,,138,"rockfish, copper",Sebastes caurinus,2,20-Nov
1993,,138,"rockfish, copper",Sebastes caurinus,1,31-40
1993,,142,"rockfish, black",Sebastes melanops,9,0-10
1993,,142,"rockfish, black",Sebastes melanops,13,20-Nov
1993,,142,"rockfish, black",Sebastes melanops,2,21-30
1993,,142,"rockfish, black",Sebastes melanops,1,31-40
1993,,142,"rockfish, black",Sebastes melanops,10,No Age
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,3,0-10
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,61,20-Nov
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,259,21-30
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,192,31-40
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,117,41-50
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,36,51-60
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,46,61-70
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,34,71-80
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,22,81-90
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,6,91-100
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,1,>100
1993,,145,"rockfish, yelloweye",Sebastes ruberrimus,172,No Age
1993,,146,"rockfish, canary",Sebastes pinniger,6,0-10
1993,,147,"rockfish, quillback",Sebastes maliger,25,20-Nov
1993,,147,"rockfish, quillback",Sebastes maliger,15,21-30
1993,,147,"rockfish, quillback",Sebastes maliger,21,31-40
1993,,147,"rockfish, quillback",Sebastes maliger,10,41-50
1993,,147,"rockfish, quillback",Sebastes maliger,13,51-60
1993,,147,"rockfish, quillback",Sebastes maliger,6,61-70
1993,,147,"rockfish, quillback",Sebastes maliger,3,81-90
1993,,147,"rockfish, quillback",Sebastes maliger,87,No Age
1993,,148,"rockfish, tiger",Sebastes nigrocinctus,1,71-80
1993,,149,"rockfish, china",Sebastes nebulosus,1,21-30
1993,,149,"rockfish, china",Sebastes nebulosus,1,No Age
1993,,154,"rockfish, dusky",Sebastes ciliatus,1,21-30
1993,,155,"rockfish, yellowtail",Sebastes flavidus,10,0-10
1993,,155,"rockfish, yellowtail",Sebastes flavidus,1,No Age
1993,,157,"rockfish, silvergray",Sebastes brevispinis,5,0-10
1993,,157,"rockfish, silvergray",Sebastes brevispinis,2,20-Nov
1993,,157,"rockfish, silvergray",Sebastes brevispinis,1,21-30
1993,,710,sablefish,Anoplopoma fimbria,4,20-Nov
1993,,710,sablefish,Anoplopoma fimbria,1,21-30
1994,CG,145,"rockfish, yelloweye",Sebastes ruberrimus,52,No Age
1994,CG,146,"rockfish, canary",Sebastes pinniger,2,No Age
1994,CG,147,"rockfish, quillback",Sebastes maliger,38,No Age
1994,CG,151,"rockfish, rougheye",Sebastes aleutianus,1,No Age
1994,CG,157,"rockfish, silvergray",Sebastes brevispinis,1,No Age
1994,CI,110,"cod, Pacific",Gadus macrocephalus,334,No Age
1994,CI,151,"rockfish, rougheye",Sebastes aleutianus,62,No Age
1994,CI,153,"rockfish, redbanded",Sebastes babcocki,4,No Age
1994,CI,154,"rockfish, dusky",Sebastes ciliatus,30,No Age
1994,CI,270,walleye pollock,Gadus chalcogrammus,396,No Age
1994,CI,710,sablefish,Anoplopoma fimbria,45,No Age
1994,NG,110,"cod, Pacific",Gadus macrocephalus,13,No Age
1994,NG,143,"rockfish, thornyhead",Sebastolobus,18,No Age
1994,NG,151,"rockfish, rougheye",Sebastes aleutianus,80,No Age
1994,NG,153,"rockfish, redbanded",Sebastes babcocki,1,No Age
1994,NG,270,walleye pollock,Gadus chalcogrammus,26,No Age
1994,NG,710,sablefish,Anoplopoma fimbria,20,No Age
1994,NSEI,152,"rockfish, shortraker",Sebastes borealis,2,No Age
1994,NSEI,710,sablefish,Anoplopoma fimbria,163,0-10
1994,NSEI,710,sablefish,Anoplopoma fimbria,129,20-Nov
1994,NSEI,710,sablefish,Anoplopoma fimbria,27,21-30
1994,NSEI,710,sablefish,Anoplopoma fimbria,9,31-40
1994,NSEI,710,sablefish,Anoplopoma fimbria,4,41-50
1994,NSEI,710,sablefish,Anoplopoma fimbria,2,51-60
1994,NSEI,710,sablefish,Anoplopoma fimbria,5,No Age
1994,PW,110,"cod, Pacific",Gadus macrocephalus,172,No Age
1994,PW,130,lingcod,Ophiodon elongatus,1,No Age
1994,PW,137,"rockfish, bocaccio",Sebastes paucispinis,3,No Age
1994,PW,143,"rockfish, thornyhead",Sebastolobus,15,No Age
1994,PW,145,"rockfish, yelloweye",Sebastes ruberrimus,6,No Age
1994,PW,147,"rockfish, quillback",Sebastes maliger,3,No Age
1994,PW,151,"rockfish, rougheye",Sebastes aleutianus,665,No Age
1994,PW,152,"rockfish, shortraker",Sebastes borealis,135,No Age
1994,PW,153,"rockfish, redbanded",Sebastes babcocki,6,No Age
1994,PW,157,"rockfish, silvergray",Sebastes brevispinis,1,No Age
1994,PW,158,"rockfish, redstripe",Sebastes proriger,6,No Age
1994,PW,182,"rockfish, splitnose",Sebastes diploproa,3,No Age
1994,PW,270,walleye pollock,Gadus chalcogrammus,458,No Age
1994,PW,710,sablefish,Anoplopoma fimbria,178,No Age
1994,SSEI,710,sablefish,Anoplopoma fimbria,187,0-10
1994,SSEI,710,sablefish,Anoplopoma fimbria,71,20-Nov
1994,SSEI,710,sablefish,Anoplopoma fimbria,16,21-30
1994,SSEI,710,sablefish,Anoplopoma fimbria,8,31-40
1994,SSEI,710,sablefish,Anoplopoma fimbria,3,41-50
1994,,137,"rockfish, bocaccio",Sebastes paucispinis,1,20-Nov
1994,,137,"rockfish, bocaccio",Sebastes paucispinis,1,No Age
1994,,142,"rockfish, black",Sebastes melanops,19,0-10
1994,,142,"rockfish, black",Sebastes melanops,23,20-Nov
1994,,142,"rockfish, black",Sebastes melanops,4,21-30
1994,,142,"rockfish, black",Sebastes melanops,1,31-40
1994,,142,"rockfish, black",Sebastes melanops,1,No Age
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,7,20-Nov
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,21,21-30
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,14,31-40
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,18,41-50
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,5,51-60
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,2,61-70
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,3,71-80
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,10,81-90
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,2,91-100
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,1,>100
1994,,145,"rockfish, yelloweye",Sebastes ruberrimus,177,No Age
1994,,147,"rockfish, quillback",Sebastes maliger,1,20-Nov
1994,,147,"rockfish, quillback",Sebastes maliger,2,21-30
1994,,147,"rockfish, quillback",Sebastes maliger,1,61-70
1994,,147,"rockfish, quillback",Sebastes maliger,21,No Age
1994,,152,"rockfish, shortraker",Sebastes borealis,2,31-40
1994,,152,"rockfish, shortraker",Sebastes borealis,11,41-50
1994,,152,"rockfish, shortraker",Sebastes borealis,1,51-60
1994,,152,"rockfish, shortraker",Sebastes borealis,3,61-70
1994,,152,"rockfish, shortraker",Sebastes borealis,4,71-80
1994,,152,"rockfish, shortraker",Sebastes borealis,1,91-100
1994,,152,"rockfish, shortraker",Sebastes borealis,3,>100
1995,CI,110,"cod, Pacific",Gadus macrocephalus,275,No Age
1995,CI,147,"rockfish, quillback",Sebastes maliger,1,No Age
1995,CI,151,"rockfish, rougheye",Sebastes aleutianus,165,No Age
1995,CI,153,"rockfish, redbanded",Sebastes babcocki,14,No Age
1995,CI,154,"rockfish, dusky",Sebastes ciliatus,67,No Age
1995,CI,158,"rockfish, redstripe",Sebastes proriger,1,No Age
1995,CI,166,"rockfish, sharpchin",Sebastes zacentrus,2,No Age
1995,CI,270,walleye pollock,Gadus chalcogrammus,551,No Age
1995,CI,710,sablefish,Anoplopoma fimbria,30,No Age
1995,CSEO,130,lingcod,Ophiodon elongatus,26,0-10
